StanFunction;Arguments;ReturnType;Documentation;
multi_normal_rng;(vectors mu, matrix Sigma);vectors;Generate an array of multivariate normal variates with locations mu\nand covariance matrix Sigma may only be used in transformed data and generated\nquantities blocks\n;
multi_normal_rng;(row_vectors mu, matrix Sigma);vectors;Generate an array of multivariate normal variates with locations mu\nand covariance matrix Sigma may only be used in transformed data and generated\nquantities blocks\n;
multi_normal_prec;~;real;Increment target log probability density with `multi_normal_prec_lupdf(y | mu, Omega)`.;
multi_normal_prec_lpdf;(vectors y | vectors mu, matrix Omega);real;The log of the multivariate normal density of vector(s) y given\nlocation vector(s) mu and positive definite precision matrix Omega\n;
multi_normal_prec_lupdf;(vectors y | vectors mu, matrix Omega);real;The log of the multivariate normal density of vector(s) y given\nlocation vector(s) mu and positive definite precision matrix Omega\ndropping constant additive terms\n;
multi_normal_prec_lpdf;(vectors y | row_vectors mu, matrix Omega);real;The log of the multivariate normal density of vector(s) y given\nlocation row vector(s) mu and positive definite precision matrix Omega\n;
multi_normal_prec_lupdf;(vectors y | row_vectors mu, matrix Omega);real;The log of the multivariate normal density of vector(s) y given\nlocation row vector(s) mu and positive definite precision matrix Omega\ndropping constant additive terms\n;
multi_normal_prec_lpdf;(row_vectors y | vectors mu, matrix Omega);real;The log of the multivariate normal density of row vector(s) y given\nlocation vector(s) mu and positive definite precision matrix Omega\n;
multi_normal_prec_lupdf;(row_vectors y | vectors mu, matrix Omega);real;The log of the multivariate normal density of row vector(s) y given\nlocation vector(s) mu and positive definite precision matrix Omega\ndropping constant additive terms\n;
multi_normal_prec_lpdf;(row_vectors y | row_vectors mu, matrix Omega);real;The log of the multivariate normal density of row vector(s) y given\nlocation row vector(s) mu and positive definite precision matrix Omega\n;
multi_normal_prec_lupdf;(row_vectors y | row_vectors mu, matrix Omega);real;The log of the multivariate normal density of row vector(s) y given\nlocation row vector(s) mu and positive definite precision matrix Omega\ndropping constant additive terms\n;
multi_normal_cholesky;~;real;Increment target log probability density with `multi_normal_cholesky_lupdf(y | mu, L)`.;
multi_normal_cholesky_lpdf;(vectors y | vectors mu, matrix L);real;The log of the multivariate normal density of vector(s) y given\nlocation vector(s) mu and lower-triangular Cholesky factor of the\ncovariance matrix L\n;
multi_normal_cholesky_lupdf;(vectors y | vectors mu, matrix L);real;The log of the multivariate normal density of vector(s) y given\nlocation vector(s) mu and lower-triangular Cholesky factor of the\ncovariance matrix L dropping constant additive terms\n;
multi_normal_cholesky_lpdf;(vectors y | row_vectors mu, matrix L);real;The log of the multivariate normal density of vector(s) y given\nlocation row vector(s) mu and lower-triangular Cholesky factor of the\ncovariance matrix L\n;
multi_normal_cholesky_lupdf;(vectors y | row_vectors mu, matrix L);real;The log of the multivariate normal density of vector(s) y given\nlocation row vector(s) mu and lower-triangular Cholesky factor of the\ncovariance matrix L dropping constant additive terms\n;
multi_normal_cholesky_lpdf;(row_vectors y | vectors mu, matrix L);real;The log of the multivariate normal density of row vector(s) y given\nlocation vector(s) mu and lower-triangular Cholesky factor of the\ncovariance matrix L\n;
multi_normal_cholesky_lupdf;(row_vectors y | vectors mu, matrix L);real;The log of the multivariate normal density of row vector(s) y given\nlocation vector(s) mu and lower-triangular Cholesky factor of the\ncovariance matrix L dropping constant additive terms\n;
multi_normal_cholesky_lpdf;(row_vectors y | row_vectors mu, matrix L);real;The log of the multivariate normal density of row vector(s) y given\nlocation row vector(s) mu and lower-triangular Cholesky factor of the\ncovariance matrix L\n;
multi_normal_cholesky_lupdf;(row_vectors y | row_vectors mu, matrix L);real;The log of the multivariate normal density of row vector(s) y given\nlocation row vector(s) mu and lower-triangular Cholesky factor of the\ncovariance matrix L dropping constant additive terms\n;
multi_normal_cholesky_rng;(vector mu, matrix L);vector;Generate a multivariate normal variate with location mu and\nlower-triangular Cholesky factor of the covariance matrix L may only\nbe used in transformed data and generated quantities blocks\n;
multi_normal_cholesky_rng;(row_vector mu, matrix L);vector;Generate a multivariate normal variate with location mu and\nlower-triangular Cholesky factor of the covariance matrix L may only\nbe used in transformed data and generated quantities blocks\n;
multi_normal_cholesky_rng;(vectors mu, matrix L);vectors;Generate an array of multivariate normal variates with locations mu\nand lower-triangular Cholesky factor of the covariance matrix L may\nonly be used in transformed data and generated quantities blocks\n;
multi_normal_cholesky_rng;(row_vectors mu, matrix L);vectors;Generate an array of multivariate normal variates with locations mu\nand lower-triangular Cholesky factor of the covariance matrix L may\nonly be used in transformed data and generated quantities blocks\n;
multi_gp;~;real;Increment target log probability density with `multi_gp_lupdf(y | Sigma, w)`.;
multi_gp_lpdf;(matrix y | matrix Sigma, vector w);real;The log of the multivariate GP density of matrix y given kernel matrix\nSigma and inverses scales w\n;
multi_gp_lupdf;(matrix y | matrix Sigma, vector w);real;The log of the multivariate GP density of matrix y given kernel matrix\nSigma and inverses scales w dropping constant additive terms\n;
multi_gp_cholesky;~;real;Increment target log probability density with `multi_gp_cholesky_lupdf(y | L, w)`.;
multi_gp_cholesky_lpdf;(matrix y | matrix L, vector w);real;The log of the multivariate GP density of matrix y given\nlower-triangular Cholesky factor of the kernel matrix L and inverses\nscales w\n;
multi_gp_cholesky_lupdf;(matrix y | matrix L, vector w);real;The log of the multivariate GP density of matrix y given\nlower-triangular Cholesky factor of the kernel matrix L and inverses\nscales w dropping constant additive terms\n;
multi_student_t;~;real;Increment target log probability density with `multi_student_t_lupdf(y | nu, mu, Sigma)`.;
multi_student_t_lpdf;(vectors y | real nu, vectors mu, matrix Sigma);real;The log of the multivariate Student-$t$ density of vector(s) y given\ndegrees of freedom nu, location vector(s) mu, and scale matrix Sigma\n;
multi_student_t_lupdf;(vectors y | real nu, vectors mu, matrix Sigma);real;The log of the multivariate Student-$t$ density of vector(s) y given\ndegrees of freedom nu, location vector(s) mu, and scale matrix Sigma\ndropping constant additive terms\n;
multi_student_t_lpdf;(vectors y | real nu, row_vectors mu, matrix Sigma);real;The log of the multivariate Student-$t$ density of vector(s) y given\ndegrees of freedom nu, location row vector(s) mu, and scale matrix\nSigma\n;
multi_student_t_lupdf;(vectors y | real nu, row_vectors mu, matrix Sigma);real;The log of the multivariate Student-$t$ density of vector(s) y given\ndegrees of freedom nu, location row vector(s) mu, and scale matrix\nSigma dropping constant additive terms\n;
multi_student_t_lpdf;(row_vectors y | real nu, vectors mu, matrix Sigma);real;The log of the multivariate Student-$t$ density of row vector(s) y\ngiven degrees of freedom nu, location vector(s) mu, and scale matrix\nSigma\n;
multi_student_t_lupdf;(row_vectors y | real nu, vectors mu, matrix Sigma);real;The log of the multivariate Student-$t$ density of row vector(s) y\ngiven degrees of freedom nu, location vector(s) mu, and scale matrix\nSigma dropping constant additive terms\n;
multi_student_t_lpdf;(row_vectors y | real nu, row_vectors mu, matrix Sigma);real;The log of the multivariate Student-$t$ density of row vector(s) y\ngiven degrees of freedom nu, location row vector(s) mu, and scale\nmatrix Sigma\n;
multi_student_t_lupdf;(row_vectors y | real nu, row_vectors mu, matrix Sigma);real;The log of the multivariate Student-$t$ density of row vector(s) y\ngiven degrees of freedom nu, location row vector(s) mu, and scale\nmatrix Sigma dropping constant additive terms\n;
multi_student_t_rng;(real nu, vector mu, matrix Sigma);vector;Generate a multivariate Student-$t$ variate with degrees of freedom\nnu, location mu, and scale matrix Sigma may only be used in transformed data\nand generated quantities blocks\n;
multi_student_t_rng;(real nu, row_vector mu, matrix Sigma);vector;Generate a multivariate Student-$t$ variate with degrees of freedom\nnu, location mu, and scale matrix Sigma may only be used in transformed data\nand generated quantities blocks\n;
multi_student_t_rng;(real nu, vectors mu, matrix Sigma);vectors;Generate an array of multivariate Student-$t$ variates with degrees of\nfreedom nu, locations mu, and scale matrix Sigma may only be used in\ntransformed data and generated quantities blocks\n;
multi_student_t_rng;(real nu, row_vectors mu, matrix Sigma);vectors;Generate an array of multivariate Student-$t$ variates with degrees of\nfreedom nu, locations mu, and scale matrix Sigma may only be used in\ntransformed data andgenerated quantities blocks\n;
multi_student_t_cholesky;~;real;Increment target log probability density with `multi_student_t_cholesky_lupdf(y | nu, mu, L)`.;
multi_student_t_cholesky_lpdf;(vectors y | real nu, vectors mu, matrix L);real;The log of the multivariate Student-$t$ density of vector or array of\nvectors `y` given\ndegrees of freedom `nu`, location vector or array of vectors `mu`, and Cholesky factor of the scale matrix `L`.\nFor a definition of the arguments compatible with the `vectors` type,\nsee the [probability vectorization section](conventions_for_probability_functions.qmd#prob-vectorization).\n;
multi_student_t_cholesky_lupdf;(vectors y | real nu, vectors mu, matrix L);real;The log of the multivariate Student-$t$ density of vector or vector\narray `y` given\ndegrees of freedom `nu`, location vector or vector array `mu`, and Cholesky factor of the scale matrix `L`,\ndropping constant additive terms.  For a definition of arguments\ncompatible with the `vectors` type, see the [probability vectorization\nsection](conventions_for_probability_functions.qmd#prob-vectorization).\n;
multi_student_cholesky_t_rng;(real nu, vector mu, matrix L);vector;Generate a multivariate Student-$t$ variate with degrees of freedom\n`nu`, location `mu`, and Cholesky factor of the scale matrix `L` may only be used in transformed data\nand generated quantities blocks.\n;
multi_student_t_cholesky_rng;(real nu, array[] vector mu, matrix L);array[] vector;Generate a multivariate Student-$t$ variate with degrees of freedom\n`nu`, location array `mu`, and Cholesky factor of the scale matrix `L` may only be used in transformed data\nand generated quantities blocks.\n;
multi_student_t_cholesky_rng;(real nu, array[] row_vector mu, matrix L);array[] vector;Generate an array of multivariate Student-$t$ variate with degrees of freedom\n`nu`, location array `mu`, and Cholesky factor of the scale matrix `L` may only be used in transformed data\nand generated quantities blocks.\n;
gaussian_dlm_obs;~;real;Increment target log probability density with `gaussian_dlm_obs_lupdf(y | F, G, V, W, m0, C0)`.;
gaussian_dlm_obs_lpdf;(matrix y | matrix F, matrix G, matrix V, matrix W, vector m0, matrix C0);real;The log of the density of the Gaussian Dynamic Linear model with\nobservation matrix y in which rows are variables and columns are\nobservations, design matrix F, transition matrix G, observation\ncovariance matrix V, system covariance matrix W, and the initial state\nis distributed normal with mean m0 and covariance C0.\n;
gaussian_dlm_obs_lupdf;(matrix y | matrix F, matrix G, matrix V, matrix W, vector m0, matrix C0);real;The log of the density of the Gaussian Dynamic Linear model with\nobservation matrix y in which rows are variables and columns are\nobservations, design matrix F, transition matrix G, observation\ncovariance matrix V, system covariance matrix W, and the initial state\nis distributed normal with mean m0 and covariance C0. This function drops\nconstant additive terms.\n;
gaussian_dlm_obs_lpdf;(matrix y | matrix F, matrix G, vector V, matrix W, vector m0, matrix C0);real;The log of the density of the Gaussian Dynamic Linear model with\nobservation matrix y in which rows are variables and columns are\nobservations, design matrix F, transition matrix G, observation\ncovariance matrix with diagonal V, system covariance matrix W, and the\ninitial state is distributed normal with mean m0 and covariance C0.\n;
gaussian_dlm_obs_lupdf;(matrix y | matrix F, matrix G, vector V, matrix W, vector m0, matrix C0);real;The log of the density of the Gaussian Dynamic Linear model with\nobservation matrix y in which rows are variables and columns are\nobservations, design matrix F, transition matrix G, observation\ncovariance matrix with diagonal V, system covariance matrix W, and the\ninitial state is distributed normal with mean m0 and covariance C0.\nThis function drops constant additive terms.\n;
min;(array[] real x);real;The minimum value in x, or $+\infty$ if x is size 0.\n;
min;(array[] int x);int;The minimum value in x, or error if x is size 0.\n;
max;(array[] real x);real;The maximum value in x, or $-\infty$ if x is size 0.\n;
max;(array[] int x);int;The maximum value in x, or error if x is size 0.\n;
sum;(array[] int x);int;The sum of the elements in x, or 0 if the array is empty.\n;
sum;(array[] real x);real;The sum of the elements in x see definition above.\n;
sum;(array[] complex x);complex;The sum of the elements in x see definition above.\n;
prod;(array[] real x);real;The product of the elements in x, or 1 if x is size 0.\n;
prod;(array[] int x);real;The product of the elements in x,\n\begin{equation*}\n\text{product}(x) = \begin{cases}\n\prod_{n=1}^N x_n & \text{if} N > 0 \\[4pt] 1 & \text{if} N = 0\n\end{cases}\n\end{equation*}\n;
log_sum_exp;(array[] real x);real;The natural logarithm of the sum of the exponentials of the elements\nin x, or $-\infty$ if the array is empty.\n;
mean;(array[] real x);real;The sample mean of the elements in x. For an array $x$ of size $N >\n0$,\n\begin{equation*}\n\text{mean}(x) \ = \ \bar{x} \ = \ \frac{1}{N} \sum_{n=1}^N\nx_n.\n\end{equation*}\nIt is an error to the call the mean function with an array of\nsize $0$.\n;
variance;(array[] real x);real;The sample variance of the elements in x. For $N > 0$,\n\begin{equation*}\n\text{variance}(x) \ = \ \begin{cases} \frac{1}{N-1} \sum_{n=1}^N (x_n\n- \bar{x})^2 & \text{if } N > 1 \\[4pt] 0 & \text{if } N = 1\n\end{cases}\n\end{equation*}\nIt is an error to call the `variance` function with an\narray of size 0.\n;
sd;(array[] real x);real;The sample standard deviation of elements in x.\n\begin{equation*}\n\text{sd}(x) =\n\begin{cases} \sqrt{\, \text{variance}(x)} & \text{if } N > 1 \\[4pt]\n0 & \text{if } N = 0 \end{cases}\n\end{equation*} It is an error to call the `sd`\nfunction with an array of size 0.\n;
norm1;(vector x);real;The L1 norm of x, defined by\n\begin{equation*}\n\text{norm1}(x) \ = \ \textstyle \sum_{n=1}^N (|x_n|)\n\end{equation*}\nwhere `N` is the size of x.\n;
norm1;(row_vector x);real;The L1 norm of x\n;
norm1;(array[] real x);real;The L1 norm of x\n;
norm2;(vector x);real;The L2 norm of x, defined by\n\begin{equation*}\n\text{norm2}(x) \ = \ \sqrt{\textstyle \sum_{n=1}^N (x_n)^2}\n\end{equation*}\nwhere `N` is the size of x\n;
norm2;(row_vector x);real;The L2 norm of x\n;
norm2;(array[] real x);real;The L2 norm of x\n;
distance;(vector x, vector y);real;The Euclidean distance between x and y, defined by\n\begin{equation*}\n\text{distance}(x,y) \ = \ \sqrt{\textstyle \sum_{n=1}^N (x_n - y_n)^2}\n\end{equation*}\nwhere `N` is the size of x and y. It is an error to call\n`distance` with arguments of unequal size.\n;
distance;(vector x, row_vector y);real;The Euclidean distance between x and y\n;
distance;(row_vector x, vector y);real;The Euclidean distance between x and y\n;
distance;(row_vector x, row_vector y);real;The Euclidean distance between x and y\n;
squared_distance;(vector x, vector y);real;The squared Euclidean distance between x and y, defined by\n\begin{equation*}\n\mathrm{squared\_distance}(x,y) \ = \ \text{distance}(x,y)^2 \ = \ \textstyle \sum_{n=1}^N (x_n - y_n)^2,\n\end{equation*}\nwhere `N` is the size of x\nand y. It is an error to call `squared_distance` with arguments of\nunequal size.\n;
squared_distance;(vector x, row_vector y);real;The squared Euclidean distance between x and y\n;
squared_distance;(row_vector x, vector y);real;The squared Euclidean distance between x and y\n;
squared_distance;(row_vector x, row_vector y);real;The Euclidean distance between x and y\n;
quantile;(data array[] real x, data real p);real;The p-th quantile of x\n;
quantile;(data array[] real x, data array[] real p);array[] real;An array containing the quantiles of x given by the array of probabilities p\n;
dims;(T x);array[] int;Return an integer array containing the dimensions of x the type of\nthe argument T can be any Stan type with up to 8 array dimensions.\n;
num_elements;(array[] T x);int;Return the total number of elements in the array x including all\nelements in contained arrays, vectors, and matrices. T can be any\narray type. For example, if `x` is of type `array[4, 3] real` then\n`num_elements(x)` is 12, and if `y` is declared as `array[5] matrix[3, 4] y`,\nthen `size(y)` evaluates to 60.\n;
size;(array[] T x);int;Return the number of elements in the array x the type of the array T\ncan be any type, but the size is just the size of the top level array,\nnot the total number of elements contained. For example, if `x` is of\ntype `array[4, 3] real` then `size(x)` is 4.\n;
rep_array;(T x, int n);array[] T;Return the n array with every entry assigned to x.\n;
rep_array;(T x, int m, int n);array[,] T;Return the m by n array with every entry assigned to x.\n;
rep_array;(T x, int k, int m, int n);array[,,] T;Return the k by m by n array with every entry assigned to x.\nFor example, `rep_array(1.0,5)` produces a real array (type `array[] real`)\nof size 5 with all values set to 1.0.  On the other hand,\n`rep_array(1,5)` produces an integer array (type `array[] int`) of size 5\nwith all values set to 1.  This distinction is important because it is\nnot possible to assign an integer array to a real array.  For example,\nthe following example contrasts legal with illegal array creation and\nassignment\n```stan\n array[5] real y\n array[5] int x\n x = rep_array(1, 5)     // ok\n y = rep_array(1.0, 5)   // ok\n x = rep_array(1.0, 5)   // illegal\n y = rep_array(1, 5)     // illegal\n x = y                  // illegal\n y = x                  // illegal\n```\nIf the value being repeated `v` is a vector (i.e., `T` is `vector`),\nthen `rep_array(v, 27)` is a size 27 array consisting of 27 copies of\nthe vector `v`.\n```stan\n vector[5] v\n array[3] vector[5] a\n a = rep_array(v, 3)  // fill a with copies of v\n a[2, 4] = 9.0        // v[4], a[1, 4], a[3, 4] unchanged\n```\nIf the type T of x is itself an array type, then the result will be an\narray with one, two, or three added dimensions, depending on which of\nthe `rep_array` functions is called.  For instance, consider the\nfollowing legal code snippet.\n```stan\n array[5, 6] real a\n array[3, 4, 5, 6] real b\n b = rep_array(a, 3, 4) //  make (3 x 4) copies of a\n b[1, 1, 1, 1] = 27.9    //  a[1, 1] unchanged\n```\nAfter the assignment to `b`, the value for `b[j, k, m, n]` is equal to\n`a[m, n]` where it is defined, for `j` in `1:3`, `k` in `1:4`, `m` in\n`1:5`, and `n` in `1:6`.\n;
append_array;(T x, T y);T;Return the concatenation of two arrays in the order of the arguments.\nT must be an N-dimensional array of any Stan type (with a maximum N of\n7). All dimensions but the first must match.\nFor example, the following code appends two three dimensional arrays\nof matrices together. Note that all dimensions except the first match.\nAny mismatches will cause an error to be thrown.\n```stan\n array[2, 1, 7] matrix[4, 6] x1\n array[3, 1, 7] matrix[4, 6] x2\n array[5, 1, 7] matrix[4, 6] x3\n x3 = append_array(x1, x2)\n```\n;
sort_asc;(array[] real v);array[] real;Sort the elements of v in ascending order\n;
sort_asc;(array[] int v);array[] int;Sort the elements of v in ascending order\n;
sort_desc;(array[] real v);array[] real;Sort the elements of v in descending order\n;
sort_desc;(array[] int v);array[] int;Sort the elements of v in descending order\n;
sort_indices_asc;(array[] real v);array[] int;Return an array of indices between 1 and the size of v, sorted to\nindex v in ascending order.\n;
sort_indices_asc;(array[] int v);array[] int;Return an array of indices between 1 and the size of v, sorted to\nindex v in ascending order.\n;
sort_indices_desc;(array[] real v);array[] int;Return an array of indices between 1 and the size of v, sorted to\nindex v in descending order.\n;
sort_indices_desc;(array[] int v);array[] int;Return an array of indices between 1 and the size of v, sorted to\nindex v in descending order.\n;
rank;(array[] real v, int s);int;Number of components of v less than v[s]\n;
rank;(array[] int v, int s);int;Number of components of v less than v[s]\n;
reverse;(array[] T v);array[] T;Return a new array containing the elements of the argument in reverse order.\n;
to_complex;();complex;Return complex number with real part 0.0 and imaginary part 0.0.\n;
to_complex;(real re);complex;Return complex number with real part `re` and imaginary part 0.0.\n;
to_complex;(real re, real im);complex;Return complex number with real part `re` and imaginary part `im`.\n;
to_complex;(T1 re, T2 im);Z;Vectorized implementation of the `to_complex` function.\n`T1` and `T2` can either be real containers of the same size, or a real\ncontainer and a real, in which case the real value is used for the corresponding\ncomponent in all elements of the output.\n;
get_real;(complex z);real;Return the real part of the complex number `z`.\n;
get_imag;(complex z);real;Return the imaginary part of the complex number `z`.\n;
operator+;(complex z);complex;Return the complex argument `z`, \begin{equation*} +z = z. \end{equation*}\n;
operator-;(complex z);complex;Return the negation of the complex argument `z`, which for $z = x + yi$ is\n\begin{equation*} -z = -x - yi. \end{equation*}\n;
operator-;(T x);T;Vectorized version of `operator-`. If `T x` is a (possibly nested) array of\ncomplex numbers, `-x` is the same shape array where each individual value is negated.\n;
operator+;(complex x, complex y);complex;Return the sum of x and y, \begin{equation*} (x + y) = \text{operator+}(x, y) = x + y. \end{equation*}\n;
operator-;(complex x, complex y);complex;Return the difference between x and y, \begin{equation*} (x - y) =\n\text{operator-}(x, y) = x - y. \end{equation*}\n;
operator*;(complex x, complex y);complex;Return the product of x and y, \begin{equation*} (x \, * \, y) = \text{operator*}(x, y) = x\n\times y. \end{equation*}\n;
operator/;(complex x, complex y);complex;Return the quotient of x and y, \begin{equation*} (x / y) = \text{operator/}(x,y) =\n\frac{x}{y} \end{equation*}\n;
operator^;(complex x, complex y);complex;Return x raised to the power of y,\n\begin{equation*}\n(x^\mathrm{\wedge}y)= \text{operator}^\mathrm{\wedge}(x,y)\n= \textrm{exp}(y \, \log(x)).\n\end{equation*}\n;
operator==;(complex x, complex y);int;Return 1 if x is equal to y and 0 otherwise,\n\begin{equation*}\n(x \,\text{==}\, y)\n\ = \ \text{operator==}(x,y)\n\ = \ \begin{cases} 1 & \text{if $x = y$}, \ \text{and} \\ 0 & \text{otherwise.}\n\end{cases}\n\end{equation*}\n;
operator!=;(complex x, complex y);int;Return 1 if x is not equal to y and 0 otherwise,\n\begin{equation*}\n(x \,\text{!=}\, y)\n\ = \ \text{operator!=}(x,y)\n\ = \ \begin{cases} 1 & \text{if $x \neq y$}, \ \text{and} \\ 0 &\n\text{otherwise.} \end{cases}\n\end{equation*}\n;
operator=;(complex x, complex y);void;`y = x` assigns a (copy of) the value of `y` to `x`.\n;
operator+=;(complex x, complex y);void;`x += y` is equivalent to `x = x + y`.\n;
operator-=;(complex x, complex y);void;`x -= y` is equivalent to `x = x - y`.\n;
